Condition,SSIM mean,SSIM std,LPIPS mean,LPIPS std
subject,0.2963,0.0682,0.6756,0.047
subj+all,0.3637,0.0694,0.5994,0.0401
subj+Quality,0.3141,0.0653,0.6511,0.0512
subj+Artist,0.3269,0.0768,0.6277,0.0428
subj+Atmosphere,0.3277,0.0696,0.6569,0.0417
subj+Trending,0.3535,0.0705,0.6545,0.0492
subj+Medium,0.3407,0.0755,0.6553,0.0442
subj+Movement,0.2943,0.0695,0.6517,0.0437
