Category,flux,midjourney,sd35
Artist,10.0,0.0,20.0
Atmosphere,26.0,0.0,4.0
Medium,36.0,0.0,12.0
Movement,2.0,0.0,0.0
Trending,26.0,0.0,8.0
baseline,0.0,0.0,0.0
